NAME                                             CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
ip-10-0-23-125.ap-southeast-1.compute.internal   89m          4%       1342Mi          40%         
ip-10-0-24-177.ap-southeast-1.compute.internal   300m         15%      3732Mi          52%         
ip-10-0-26-153.ap-southeast-1.compute.internal   184m         9%       2159Mi          30%         
ip-10-0-4-166.ap-southeast-1.compute.internal    27m          1%       950Mi           28%         
ip-10-0-40-18.ap-southeast-1.compute.internal    24m          1%       451Mi           14%         
ip-10-0-41-80.ap-southeast-1.compute.internal    173m         8%       1374Mi          41%         
ip-10-0-43-83.ap-southeast-1.compute.internal    160m         8%       3517Mi          49%         
ip-10-0-5-56.ap-southeast-1.compute.internal     18m          0%       451Mi           14%         
ip-10-0-8-134.ap-southeast-1.compute.internal    120m         6%       3038Mi          42%         
ip-10-0-9-20.ap-southeast-1.compute.internal     80m          4%       587Mi           17%         
