NAME                                             STATUS   ROLES    AGE     VERSION               INTERNAL-IP   EXTERNAL-IP   OS-IMAGE                        KERNEL-VERSION                     CONTAINER-RUNTIME
ip-10-0-23-125.ap-southeast-1.compute.internal   Ready    <none>   5h22m   v1.35.6-eks-8f14419   10.0.23.125   <none>        Amazon Linux 2023.12.20260611   6.12.90-120.164.amzn2023.x86_64    containerd://2.2.4+unknown
ip-10-0-24-177.ap-southeast-1.compute.internal   Ready    <none>   6d5h    v1.35.6-eks-8f14419   10.0.24.177   <none>        Amazon Linux 2023.12.20260611   6.12.90-120.164.amzn2023.x86_64    containerd://2.2.4+unknown
ip-10-0-26-153.ap-southeast-1.compute.internal   Ready    <none>   14d     v1.35.6-eks-8f14419   10.0.26.153   <none>        Amazon Linux 2023.12.20260611   6.12.90-120.164.amzn2023.x86_64    containerd://2.2.4+unknown
ip-10-0-4-166.ap-southeast-1.compute.internal    Ready    <none>   13d     v1.35.6-eks-8f14419   10.0.4.166    <none>        Amazon Linux 2023.12.20260611   6.12.90-120.164.amzn2023.x86_64    containerd://2.2.4+unknown
ip-10-0-40-18.ap-southeast-1.compute.internal    Ready    <none>   5h53m   v1.35.6-eks-8f14419   10.0.40.18    <none>        Amazon Linux 2023.12.20260710   6.12.94-123.180.amzn2023.aarch64   containerd://2.2.4+unknown
ip-10-0-41-80.ap-southeast-1.compute.internal    Ready    <none>   20m     v1.35.6-eks-8f14419   10.0.41.80    <none>        Amazon Linux 2023.12.20260611   6.12.90-120.164.amzn2023.x86_64    containerd://2.2.4+unknown
ip-10-0-43-83.ap-southeast-1.compute.internal    Ready    <none>   14d     v1.35.6-eks-8f14419   10.0.43.83    <none>        Amazon Linux 2023.12.20260611   6.12.90-120.164.amzn2023.x86_64    containerd://2.2.4+unknown
ip-10-0-5-56.ap-southeast-1.compute.internal     Ready    <none>   7h48m   v1.35.6-eks-8f14419   10.0.5.56     <none>        Amazon Linux 2023.12.20260710   6.12.94-123.180.amzn2023.aarch64   containerd://2.2.4+unknown
ip-10-0-8-134.ap-southeast-1.compute.internal    Ready    <none>   14d     v1.35.6-eks-8f14419   10.0.8.134    <none>        Amazon Linux 2023.12.20260611   6.12.90-120.164.amzn2023.x86_64    containerd://2.2.4+unknown
ip-10-0-9-20.ap-southeast-1.compute.internal     Ready    <none>   5m54s   v1.35.6-eks-8f14419   10.0.9.20     <none>        Amazon Linux 2023.12.20260611   6.12.90-120.164.amzn2023.x86_64    containerd://2.2.4+unknown
