NAME                               CPU(cores)   MEMORY(bytes)   
accounting-796d8ffd88-rkkf9        12m          196Mi           
ad-d5f5f9f4b-g9ggf                 2m           219Mi           
aiops-engine-7cb74684f8-svqjf      3m           207Mi           
cart-59db4d5498-gmkpv              7m           62Mi            
cart-59db4d5498-p4bm5              4m           44Mi            
checkout-rollout-6c986b459-49l5x   3m           13Mi            
checkout-rollout-6c986b459-cs6tm   4m           12Mi            
cloudflared-747fd76fc9-7l62d       3m           31Mi            
cloudflared-747fd76fc9-w598s       6m           25Mi            
currency-6bddf4894f-l2276          1m           2Mi             
currency-6bddf4894f-svvsk          2m           3Mi             
email-5cdc6dbf86-kgvvs             2m           56Mi            
flagd-68cb954df4-2cjds             3m           181Mi           
fraud-detection-7555fcd4d8-nnhg7   6m           246Mi           
frontend-f8b686869-82l6p           30m          75Mi            
frontend-f8b686869-9pw78           27m          109Mi           
frontend-proxy-84bc9f68db-5d7zh    4m           16Mi            
frontend-proxy-84bc9f68db-j5ndx    6m           16Mi            
grafana-668bb9ccc5-t4kbl           38m          866Mi           
image-provider-6ccdd9c958-h8n86    1m           9Mi             
jaeger-5758598465-6r5qw            8m           77Mi            
llm-7665dcc9b5-mqmbx               15m          67Mi            
load-generator-67fd8f8d56-s4xf9    17m          124Mi           
opensearch-0                       36m          922Mi           
otel-gateway-54cdff56c4-5cs6z      22m          96Mi            
otel-gateway-54cdff56c4-dmxkm      29m          94Mi            
payment-55ddb6c79d-5hlkz           7m           141Mi           
payment-55ddb6c79d-g2ppd           13m          127Mi           
product-catalog-7b6d457c77-klnd7   3m           12Mi            
product-catalog-7b6d457c77-nv8w7   2m           11Mi            
product-reviews-7697d67bf8-78j55   10m          87Mi            
product-reviews-7697d67bf8-ql5cx   7m           89Mi            
prometheus-5f66b859cf-lb2dt        41m          292Mi           
quote-79b77dd947-27ccn             1m           15Mi            
quote-79b77dd947-zkfmx             1m           18Mi            
recommendation-9c46655c8-krbrr     11m          44Mi            
shipping-6d787fdff6-4q9mw          1m           3Mi             
shipping-6d787fdff6-84j7l          1m           2Mi             
